taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
1339308	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11023526	Eufriesea corusca (Kimsey, 1977)	(Kimsey, 1977)	Eufriesea corusca	Eufriesea	corusca		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339291	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10949211	Eufriesea boharti (Kimsey, 1977)	(Kimsey, 1977)	Eufriesea boharti	Eufriesea	boharti		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339317	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11013740	Eufriesea violascens (Mocsáry, 1898)	(Mocsáry, 1898)	Eufriesea violascens	Eufriesea	violascens		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
10750197	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		10979608	Tetragonula drescheri (Schwarz, 1939)	(Schwarz, 1939)	Tetragonula drescheri	Tetragonula	drescheri		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1344531	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		11064706	Tetragonula testaceitarsis (Cameron, 1901)	(Cameron, 1901)	Tetragonula testaceitarsis	Tetragonula	testaceitarsis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1340112	7ddf754f-d193-4cc9-b351-99906754a03b	1340108		5760814	Chiasmognathus orientanus (Warncke, 1983)	(Warncke, 1983)	Chiasmognathus orientanus	Chiasmognathus	orientanus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Chiasmognathus
1339283	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11107904	Eufriesea opulenta (Mocsáry, 1908)	(Mocsáry, 1908)	Eufriesea opulenta	Eufriesea	opulenta		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339295	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		1339296	Eufriesea chalybaea (Friese, 1923)	(Friese, 1923)	Eufriesea chalybaea	Eufriesea	chalybaea		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339297	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10906380	Eufriesea laniventris (Ducke, 1902)	(Ducke, 1902)	Eufriesea laniventris	Eufriesea	laniventris		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339267	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11064203	Eufriesea schmidtiana (Friese, 1925)	(Friese, 1925)	Eufriesea schmidtiana	Eufriesea	schmidtiana		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1345649	7ddf754f-d193-4cc9-b351-99906754a03b	1345648		10907159	Scaura longula (Lepeletier, 1836)	(Lepeletier, 1836)	Scaura longula	Scaura	longula		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaura
1344524	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		10949629	Tetragonula minangkabau (Sakagami & Inoue, 1985)	(Sakagami & Inoue, 1985)	Tetragonula minangkabau	Tetragonula	minangkabau		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1345650	7ddf754f-d193-4cc9-b351-99906754a03b	1345648		8990815	Scaura argyrea (Cockerell, 1912)	(Cockerell, 1912)	Scaura argyrea	Scaura	argyrea		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaura
10681278	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11044102	Eufriesea longipennis (Friese, 1925)	(Friese, 1925)	Eufriesea longipennis	Eufriesea	longipennis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1344541	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		5040481	Tetragonula iridipennis (Smith, 1854)	(Smith, 1854)	Tetragonula iridipennis	Tetragonula	iridipennis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1344537	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		5801044	Tetragonula davenporti (Franck, 2004)	(Franck, 2004)	Tetragonula davenporti	Tetragonula	davenporti		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1339271	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11014434	Eufriesea caerulescens (Lepeletier, 1841)	(Lepeletier, 1841)	Eufriesea caerulescens	Eufriesea	caerulescens		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1344534	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		5801041	Tetragonula mellipes (Friese, 1898)	(Friese, 1898)	Tetragonula mellipes	Tetragonula	mellipes		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1339286	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11074044	Eufriesea rufocauda (Kimsey, 1977)	(Kimsey, 1977)	Eufriesea rufocauda	Eufriesea	rufocauda		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
10870357	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10919927	Eufriesea buchwaldi (Friese, 1923)	(Friese, 1923)	Eufriesea buchwaldi	Eufriesea	buchwaldi		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1344533	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		10963095	Tetragonula melanocephala (Gribodo, 1893)	(Gribodo, 1893)	Tetragonula melanocephala	Tetragonula	melanocephala		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1344554	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		5801040	Tetragonula laeviceps (Smith, 1857)	(Smith, 1857)	Tetragonula laeviceps	Tetragonula	laeviceps		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
